contentid,contenttypeid,title,addr1,addr2,zipcode,tel,mapx,mapy,mlevel,firstimage,firstimage2,cpyrhtDivCd,createdtime,modifiedtime,areacode,sigungucode,lDongRegnCd,lDongSignguCd,cat1,cat2,cat3,lclsSystm1,lclsSystm2,lclsSystm3
2839771,39,롱로드,제주특별자치도 제주시 한림읍 귀덕3길 44,,63024,,126.2792179220,33.4416106964,6,http://tong.visitkorea.or.kr/cms/resource/62/2839762_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2839762_image3_1.jpg,Type3,20220819132929,20250602165446,39,4,50,110,A05,A0502,A05020200,FD,FD02,FD020300
2839783,39,서서방숯불닭갈비 제주본점,제주특별자치도 제주시 신광로 61,1층,63123,,126.4901152327,33.4866479357,6,http://tong.visitkorea.or.kr/cms/resource/79/2839779_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2839779_image3_1.jpg,Type3,20220819133621,20250206142434,39,4,50,110,A05,A0502,A05020100,FD,FD01,FD010100
2839794,39,임성반점,제주특별자치도 제주시 용화로 57-1 (용담이동),,63156,,126.5097630060,33.5095179388,6,http://tong.visitkorea.or.kr/cms/resource/91/2839791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2839791_image3_1.jpg,Type3,20220819134437,20250602170332,39,4,50,110,A05,A0502,A05020400,FD,FD02,FD020100
2839903,39,피즈 버거 노형점,제주특별자치도 제주시 노형10길 6 (노형동),,63083,,126.4776191647,33.4836508470,6,http://tong.visitkorea.or.kr/cms/resource/96/2839896_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2839896_image3_1.jpg,Type3,20220819143333,20250602171708,39,4,50,110,A05,A0502,A05020200,FD,FD03,FD030200
2839916,39,한데모아 정실점,제주특별자치도 제주시 아연로 182 (오라이동),,63147,,126.5092139488,33.4700472992,6,http://tong.visitkorea.or.kr/cms/resource/15/2839915_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2839915_image3_1.jpg,Type3,20220819144154,20250602173714,39,4,50,110,A05,A0502,A05020100,FD,FD01,FD010100
2839938,39,한라향,"제주특별자치도 제주시 도남로 104 (도남동, 백록아파트)",,63219,,126.5279562849,33.4911897022,6,http://tong.visitkorea.or.kr/cms/resource/26/2839926_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2839926_image3_1.jpg,Type3,20220819145242,20250602175128,39,4,50,110,A05,A0502,A05020100,FD,FD01,FD010100
2840469,39,미친부엌,제주특별자치도 제주시 탑동로 15 (삼도이동),,63166,,126.5231672257,33.5170284317,6,http://tong.visitkorea.or.kr/cms/resource/54/2840454_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2840454_image3_1.jpg,Type3,20220822132350,20250604112443,39,4,50,110,A05,A0502,A05020300,FD,FD02,FD020200
2840487,39,섭섭이네,제주특별자치도 제주시 구좌읍 중산간동로 2261,,63355,,126.7843928004,33.4715876451,6,http://tong.visitkorea.or.kr/cms/resource/73/2840473_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2840473_image3_1.jpg,Type3,20220822133037,20250604113633,39,4,50,110,A05,A0502,A05020200,FD,FD02,FD020300
2840505,39,순아커피,제주특별자치도 제주시 관덕로 32-1 (삼도이동),,63168,,126.5227367964,33.5131038591,6,http://tong.visitkorea.or.kr/cms/resource/92/2840492_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2840492_image3_1.jpg,Type3,20220822133631,20250604170102,39,4,50,110,A05,A0502,A05020900,FD,FD05,FD050100
2840638,39,오짜장,제주특별자치도 제주시 조공포길 36 (외도일동),,63070,,126.4341228251,33.4890245608,6,http://tong.visitkorea.or.kr/cms/resource/27/2840627_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2840627_image3_1.jpg,Type3,20220822150336,20250604171212,39,4,50,110,A05,A0502,A05020400,FD,FD02,FD020100
2840668,39,자연몸국,제주특별자치도 제주시 중앙로 63-11,,63192,,126.5250699577,33.5117679337,6,http://tong.visitkorea.or.kr/cms/resource/59/2840659_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2840659_image3_1.jpg,Type3,20220822151612,20251023143000,39,4,50,110,A05,A0502,A05020100,FD,FD01,FD010100
2840695,39,카페477플러스,제주특별자치도 제주시 구좌읍 세평항로 46-9,,63361,,126.8560464211,33.5270215609,6,http://tong.visitkorea.or.kr/cms/resource/83/2840683_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2840683_image3_1.jpg,Type3,20220822152528,20250604172244,39,4,50,110,A05,A0502,A05020900,FD,FD05,FD050100
2840856,39,두모리이수사,제주특별자치도 제주시 한경면 두신로 112,,63002,,126.1848670034,33.3526162874,6,http://tong.visitkorea.or.kr/cms/resource/45/2840845_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2840845_image3_1.jpg,Type3,20220822162106,20250626150203,39,4,50,110,A05,A0502,A05020300,FD,FD02,FD020200
2840885,39,이어도식당,제주특별자치도 서귀포시 성읍정의현로22번길 14,,63624,,126.8023710152,33.3844031223,6,http://tong.visitkorea.or.kr/cms/resource/81/2840881_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2840881_image3_1.jpg,Type3,20220822162632,20250604175543,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
2840903,39,양가네 신화월드 본점,제주특별자치도 서귀포시 안덕면 동광로 112,,63523,,126.3389629754,33.3062571628,6,http://tong.visitkorea.or.kr/cms/resource/00/2840900_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2840900_image3_1.jpg,Type3,20220822163231,20250605092108,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
2840920,39,아리랑밀면,제주특별자치도 서귀포시 서홍로 29 (서홍동),,63570,,126.5532067468,33.2505805813,6,http://tong.visitkorea.or.kr/cms/resource/16/2840916_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2840916_image3_1.jpg,Type3,20220822163809,20250605092940,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
